Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
49700	-1617.81618155989	1	5	0
49800	-1608.73487391624	1	1	0
49900	-1620.20676454676	4	3	0
50000	-1617.2580923953	4	3	0
50100	-1619.13512362708	5	1	0
50200	-1621.31018200196	4	4	0
50300	-1604.77393116288	2	1	0
50400	-1608.46306051998	2	2	0
50500	-1608.8560855288	2	2	0
50600	-1624.98909495017	2	6	0
50700	-1609.68698500784	2	1	0
50800	-1619.7331024373	5	2	0
50900	-1617.22792150972	3	2	0
51000	-1612.4286412789	3	1	0
51100	-1613.02265654024	3	1	0
51200	-1610.41810495622	2	2	0
51300	-1620.39737380194	3	4	0
51400	-1625.82671948278	5	3	0
51500	-1619.25559562816	5	2	0
51600	-1619.0291446075	3	3	0
51700	-1616.18214043746	3	3	0
51800	-1613.35170973543	4	1	0
51900	-1626.90173295518	6	3	0
52000	-1609.02339904615	1	3	0
52100	-1604.08407385454	2	2	0
52200	-1623.71615012414	6	4	0
52300	-1630.53352450435	8	4	0
52400	-1613.61131436442	4	4	0
52500	-1603.60493446714	3	4	0
52600	-1627.78469893952	9	3	0
52700	-1618.7805691352	6	4	0
52800	-1616.64528029494	6	3	0
52900	-1625.49981076246	5	5	0
53000	-1604.13320016757	4	3	0
53100	-1605.6042334352	4	3	0
53200	-1608.01406132136	4	3	0
53300	-1602.17508750754	5	1	0
53400	-1601.01220920099	4	1	0
53500	-1601.19044601325	3	2	0
53600	-1610.87973505714	3	5	0
53700	-1623.58303225061	3	8	0
53800	-1628.23194137688	8	5	0
53900	-1619.59204277715	5	4	0
54000	-1602.97552972124	5	2	0
54100	-1633.55623094919	5	8	0
54200	-1607.416889238	4	3	0
54300	-1612.66877934538	7	2	0
54400	-1606.52712449792	5	3	0
54500	-1604.57172887788	4	3	0
54600	-1602.70683566364	4	2	0
54700	-1615.82823792025	5	3	0
54800	-1617.04739116611	7	2	0
54900	-1620.04334248283	4	5	0
55000	-1617.40338865545	5	5	0
55100	-1605.62261238676	5	1	0
55200	-1606.62686148784	5	2	0
55300	-1619.58239171977	6	4	0
55400	-1601.20209577295	4	2	0
55500	-1613.71225253581	6	4	0
55600	-1603.39924102077	5	1	0
55700	-1618.28405841649	6	3	0
55800	-1606.07077878505	4	2	0
55900	-1611.0633173075	5	2	0
56000	-1602.20183471832	4	1	0
56100	-1600.43261855851	3	3	0
56200	-1603.3036533037	3	3	0
56300	-1606.27602666052	4	3	0
56400	-1620.38442026617	7	2	0
56500	-1615.35297085046	5	4	0
56600	-1629.35918537166	8	4	0
56700	-1601.74384066444	3	2	0
56800	-1615.56230882677	4	4	0
56900	-1623.01094664818	6	5	0
57000	-1608.54116970263	5	2	0
57100	-1617.63370664351	5	3	0
57200	-1609.60626011122	4	4	0
57300	-1609.86984260497	5	3	0
57400	-1605.47166042642	5	1	0
57500	-1603.41174446753	4	2	0
57600	-1621.49406349837	6	4	0
57700	-1617.53041346705	5	4	0
57800	-1609.45568616518	4	3	0
57900	-1622.43335449323	6	3	0
58000	-1615.29863322533	7	1	0
58100	-1605.54656466366	4	2	0
58200	-1606.5288387493	4	2	0
58300	-1622.4116892294	6	4	0
58400	-1618.21983538815	6	3	0
